Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
Bacon & Cheese Whopper Sandwich,303,51,50,35,11,2,1560,125,790,17,2
BBQ Bacon Whopper Sandwich,303,51,53,35,14,2,1540,125,800,17,2
Double Whopper Sandwich,354,58,49,48,11,2,1050,175,900,20,3
Double Whopper Sandwich with Cheese,377,64,50,52,11,2,1410,195,980,24,3
Triple Whopper Sandwich with Cheese,461,82,50,71,11,2,1470,280,1220,32,4.5
Whopper Jr. Sandwich,134,18,27,13,7,1,390,40,310,5,0.5
Whopper Sandwich,270,40,49,28,11,2,980,90,660,12,1.5
Whopper Sandwich with Cheese,292,46,50,32,11,2,1340,115,740,16,2
Bacon Cheeseburger,118,16,27,17,7,1,710,55,320,7,0.5
Bacon Double Cheeseburger,155,24,27,25,7,1,740,90,420,10,1.5
Bacon King Jr. Sandwich,175,38,27,29,6,1,1050,115,570,15,1.5
Bacon King Sandwich,356,79,49,61,10,2,2150,240,1150,31,3.5
Cheeseburger,111,13,27,15,7,1,560,45,280,6,0.5
Double Cheeseburger,148,21,27,23,7,1,590,85,390,9,1.5
Double Hamburger,136,18,26,21,6,1,410,70,350,7,1
Double Quarter Pound King Sandwich,338,54,50,56,11,2,1740,210,900,25,3
Extra Long Cheeseburger,226,37,45,29,9,2,1050,100,630,14,1.5
Hamburger,99,10,26,13,6,1,380,35,240,3.5,0.5
Rodeo King Sandwich,385,82,69,60,14,3,2270,230,1250,31,3.5
Single Quarter Pound King Sandwich,231,29,49,32,10,2,1310,105,580,13,1.5
Bacon & Cheese Crispy Chicken Sandwich,262,52,55,30,8,2,1650,95,800,13,1
Big Fish Sandwich,188,28,51,16,7,2,1180,30,510,4.5,0
BK Veggie Burger,219,17,41,21,9,5,980,5,390,2.5,0
Chicken Fries,91,17,20,13,1,1,850,35,280,2.5,0
"Chicken Nuggets, 6 Piece",88,16,16,12,0,1,470,35,260,2.5,0
"Chicken Nuggets, 10 Piece",146,27,27,20,0,2,780,55,430,4.5,0
"Chicken Nuggets, 20 Piece",292,54,53,39,1,3,1570,115,860,9,0
Crispy Chicken Jr.,142,30,34,12,5,2,780,30,450,5,0
Crispy Chicken Sandwich,228,41,54,23,8,2,1080,60,670,7,0
Grilled Chicken Sandwich,229,19,39,37,6,6,850,85,470,3.5,0
Original Chicken Sandwich,219,40,48,28,5,2,1170,75,660,7,0
Rodeo Crispy Chicken Sandwich,270,60,72,33,14,3,2230,105,960,15,1
Spicy Crispy Chicken Jr.,142,21,37,12,6,2,740,30,390,3.5,0
Spicy Crispy Chicken Sandwich,242,42,57,25,8,3,1140,65,700,7,0
Kids Cheeseburger,111,13,27,15,7,1,560,45,280,6,0.5
"Kids Chicken Nuggets, 6 Piece",88,16,16,12,0,1,470,35,260,2.5,0
Kids Hamburger,99,10,26,13,6,1,380,35,240,3.5,0.5
Kids Oatmeal,167,3,32,4,12,3,260,5,170,1.5,0
Kids PB&J Jamwich,79,16,33,11,11,4,290,0,300,3,0
Kids Soft Serve Cone,120,4.5,32,5,24,0,150,20,190,3,0
Cheesy Tots,128,15,34,9,0,3,780,0,310,1,0
"Club Salad with Crispy Chicken, No Dressing",308,33,31,31,5,3,1380,95,540,10,0
"Club Salad with Grilled Chicken, No Dressing",334,23,16,44,5,7,1220,120,440,9,0
"French Fries, Large (Salted)",173,19,60,6,0,4,640,0,430,3.5,0
"French Fries, Medium (Salted)",153,17,53,5,0,4,570,0,380,3,0
"French Fries, Small (Salted)",128,14,44,4,0,3,480,0,320,2.5,0
"French Fries, Value (Salted)",89,10,31,3,0,2,330,0,220,1.5,0
"Garden Chicken Salad with Crispy Chicken, No Dressing",287,25,31,25,4,3,930,75,440,7,0
"Garden Chicken Salad with Grilled Chicken, No Dressing",313,15,16,39,4,7,770,100,340,6,0
"Garden Side Salad, No Dressing",99,4,3,4,2,1,95,10,60,2.5,0
"Onion Rings, Large",142,25,64,5,7,5,1310,0,500,4.5,0
"Onion Rings, Medium",117,21,53,4,5,4,1080,0,410,3.5,0
"Onion Rings, Small",91,16,41,3,4,3,840,0,320,3,0
"Bacon, Egg & Cheese Biscuit",152,26,29,13,3,1,1270,170,400,13,0
BK Ultimate Breakfast Platter,487,70,122,29,33,5,2550,380,1230,23,0.5
"Croissan'wich Bacon, Egg & Cheese",132,21,30,14,4,1,760,170,370,9,0
Croissan'wich Egg & Cheese,125,18,29,12,4,1,610,160,340,8,0
"Croissan'wich Ham, Egg & Cheese",156,19,30,17,5,1,1030,175,370,8,0
"Croissan'wich Sausage, Egg & Cheese",169,33,30,19,4,1,930,195,500,13,0
Egg-Normous Burrito,371,57,68,38,5,7,2460,375,940,20,1
"French Toast Sticks, 5 Piece",109,18,49,5,13,2,430,0,380,3,0
Fully Loaded Biscuit,238,45,31,28,4,1,2190,225,640,20,0
Fully Loaded Croissan'wich,218,40,31,28,5,1,1680,225,610,17,0.5
"Ham, Egg, & Cheese Biscuit",176,24,29,17,3,1,1550,175,400,12,0
"Hash Browns, Large",225,44,65,5,0,9,1530,0,670,9,0
"Hash Browns, Medium",169,33,48,4,0,7,1140,0,500,7,0
King Croissan'wich with Double Sausage,224,52,31,29,5,1,1420,240,710,20,0.5
King Croissan'wich with Ham And Sausage,211,38,31,27,5,1,1530,220,580,16,0.5
King Croissan'wich with Sausage And Bacon,187,40,31,23,5,1,1260,215,580,16,0.5
NY Ultimate Platter,400,46,95,25,31,5,1760,380,900,12,0
Pancake and Sausage Platter,217,31,72,12,30,1,1010,80,610,9,0
Quaker Oatmeal Maple Flavor,172,3,32,4,12,3,270,5,170,1.5,0
"Sausage, Egg, & Cheese Biscuit",189,38,29,19,3,1,1440,195,530,17,0
"Sausage, Egg, Cheese & Hash Brown Burrito",143,23,27,15,2,3,930,150,370,8,0
Sausage Biscuit,121,28,28,12,2,1,1050,35,420,6,0
Caramel Sundae,153,6,53,6,39,0,260,25,290,4,0
Chocolate Chip Cookies,76,15,47,3,29,1,250,20,330,8,0
Dutch Apple Pie,107,14,51,3,25,1,310,0,340,6,0
Hershey's Chocolate Sundae,153,7,47,6,41,1,220,20,280,5,0
Hershey's Sundae Pie,79,19,32,3,22,1,220,10,310,12,0
Oatmeal Raisin Cookies,76,13,46,4,26,3,260,20,310,8,0
Oreo Cookie Cheesecake,92,18,41,6,25,1,310,35,350,8,0
Pie Made with Twix,102,20,45,4,30,1,330,10,370,13,0
Soft Serve Cone,120,4.5,32,5,24,0,150,20,190,3,0
Soft Serve Cup,115,4.5,28,5,24,0,150,20,170,3,0
White Chocolate Macadamia Nut Cookies,76,18,44,4,28,0,240,20,340,8,0
Chocolate Oreo Shake,,22,121,17,101,1,680,70,740,13,0.5
Froot Loops Shake,,17,126,16,103,2,560,65,720,11,0.5
Oreo Shake,,20,118,16,98,1,540,65,720,12,0.5
Strawberry Banana Smoothie,,1,71,4,50,3,55,0,310,0,0
Tropical Mango Smoothie,,0,86,5,56,2,70,0,370,0,0
Value Menu Bacon Cheeseburger,118,16,27,17,7,1,710,55,320,7,0.5
Value Menu Bacon Double Cheeseburger,155,24,27,25,7,1,740,90,420,10,1.5
Value Menu Cheeseburger,111,13,27,15,7,1,560,45,280,6,0.5
