Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price,Carbs Metric,Cholesterol Metric,Protein Metric,Fat Metric,Sodium Metric,Saturated Fat Metric
Brown Steamed Rice,,4.0,86,9,1,4,15,0,420,1.0,0,2.10,1.3650793650793651,0.0,0.8571428571428572,0.24737167594310452,0.02976190476190476,0.2380952380952381
Chow Fun,,9.0,73,9,6,1,1110,0,410,1.0,0,2.10,1.1869918699186992,0.0,0.8780487804878048,0.5701615457713018,2.25609756097561,0.24390243902439024
Chow Mein,266.0,20.0,80,13,9,6,860,0,510,3.5,0,2.10,1.0457516339869282,0.0,1.0196078431372548,1.0185892538833714,1.4052287581699348,0.6862745098039216
Fried Rice,264.0,16.0,85,11,3,1,850,120,520,3.0,0,1.80,1.0897435897435899,1.5384615384615385,0.8461538461538463,0.7992007992007992,1.3621794871794872,0.576923076923077
"Mixed Vegetables, Side",,0.5,16,4,5,5,540,0,80,0.0,0,9.70,1.3333333333333335,0.0,2.0,0.16233766233766234,5.625,0.0
White Steamed Rice,,0.0,87,7,0,0,0,0,380,0.0,0,2.10,1.5263157894736843,0.0,0.7368421052631579,0.0,0.0,0.0
Country Style Bean Curd,,12.0,14,7,8,2,950,0,190,1.5,0,2.10,0.49122807017543857,0.0,1.4736842105263157,1.6404647983595353,4.166666666666667,0.7894736842105263
Eggplant Tofu,173.0,24.0,23,7,17,3,520,0,340,3.5,0,0.75,0.45098039215686275,0.0,0.8235294117647058,1.8334606569900687,1.2745098039215685,1.0294117647058822
Hot Szechuan Tofu,,8.0,10,6,5,2,580,0,140,1.0,0,2.10,0.47619047619047616,0.0,1.7142857142857144,1.484230055658627,3.452380952380953,0.7142857142857143
Asian Chicken,,13.0,14,41,10,3,630,195,340,3.5,0,9.70,0.27450980392156865,3.8235294117647056,4.823529411764706,0.9931245225362874,1.5441176470588236,1.0294117647058822
Black Pepper Chicken,173.0,19.0,15,13,7,1,1130,55,280,3.5,0,1.80,0.35714285714285715,1.3095238095238095,1.8571428571428572,1.7625231910946195,3.363095238095238,1.25
Grilled Asian Chicken,,13.0,8,36,8,0,530,185,300,4.0,0,2.10,0.17777777777777778,4.111111111111112,4.8,1.1255411255411256,1.4722222222222223,1.3333333333333335
Grilled Teriyaki Chicken,,13.0,8,36,8,0,530,185,300,4.0,0,2.10,0.17777777777777778,4.111111111111112,4.8,1.1255411255411256,1.4722222222222223,1.3333333333333335
Kung Pao Chicken,164.0,19.0,14,16,6,2,970,55,290,3.5,0,9.70,0.3218390804597701,1.264367816091954,2.206896551724138,1.7017465293327363,2.78735632183908,1.206896551724138
Mushroom Chicken,167.0,14.0,11,12,4,1,840,50,220,2.5,0,9.70,0.33333333333333337,1.5151515151515151,2.1818181818181817,1.652892561983471,3.181818181818182,1.1363636363636365
Orange Chicken,162.0,23.0,51,25,19,2,820,80,490,5.0,0,9.70,0.6938775510204082,1.0884353741496597,2.0408163265306123,1.2191889742910151,1.394557823129252,1.0204081632653061
Potato Chicken,147.0,10.0,18,8,4,2,680,30,190,2.0,0,2.10,0.6315789473684211,1.0526315789473684,1.6842105263157894,1.367053998632946,2.982456140350877,1.0526315789473684
Teriyaki Chicken,,13.0,14,41,10,3,630,195,340,3.5,0,9.70,0.27450980392156865,3.8235294117647056,4.823529411764706,0.9931245225362874,1.5441176470588236,1.0294117647058822
Honey Sesame Chicken Breast,,22.0,40,16,19,2,480,45,420,4.0,0,9.70,0.6349206349206349,0.7142857142857143,1.523809523809524,1.3605442176870748,0.9523809523809523,0.9523809523809524
String Bean Chicken Breast,159.0,9.0,13,14,4,4,590,35,190,2.0,0,9.70,0.456140350877193,1.2280701754385965,2.9473684210526314,1.2303485987696514,2.587719298245614,1.0526315789473684
