Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Carbs Metric,Cholesterol Metric,Fat Metric,Sodium Metric,Protein Metric,Price
"Bacon, Egg & Cheese Biscuit",,21.0,40.0,15.0,1.0,2.0,1240.0,170.0,420.0,11.0,0.0,0.6349206349206349,2.6984126984126986,1.2987012987012987,2.4603174603174605,0.2380952380952381,$4.95
"Bacon, Egg, & Cheese Muffin",,12.0,31.0,16.0,1.0,1.0,710.0,170.0,300.0,5.0,0.0,0.6888888888888889,3.7777777777777777,1.0389610389610389,1.9722222222222223,0.3555555555555556,0
Buttered Biscuit,,13.0,41.0,4.0,4.0,4.0,710.0,0.0,300.0,7.0,0.0,0.9111111111111112,0.0,1.1255411255411256,1.9722222222222223,0.08888888888888889,$0.89
"Chick-n-Minis, 4-Count",,14.0,37.0,19.0,6.0,2.0,860.0,55.0,350.0,4.0,0.0,0.7047619047619048,1.0476190476190477,1.0389610389610389,2.047619047619048,0.3619047619047619,$5.29
"Chicken, Egg & Cheese Bagel",,18.0,51.0,27.0,8.0,3.0,1310.0,195.0,480.0,5.0,0.0,0.7083333333333334,2.708333333333333,0.9740259740259741,2.274305555555556,0.375,$1.29
Chicken Biscuit,,32.0,50.0,17.0,5.0,4.0,1310.0,35.0,450.0,8.0,0.0,0.7407407407407407,0.5185185185185186,1.8470418470418468,2.4259259259259256,0.2518518518518519,$1.95
Egg White Grill,,7.0,31.0,25.0,1.0,1.0,970.0,55.0,300.0,3.0,0.0,0.6888888888888889,1.2222222222222219,0.6060606060606061,2.6944444444444446,0.5555555555555556,0
Greek Yogurt Parfait with Chocolate Cookie Crumbs,,8.0,26.0,11.0,21.0,1.0,95.0,25.0,210.0,0.0,0.0,0.8253968253968255,0.7936507936507936,0.989486703772418,0.37698412698412703,0.34920634920634924,$1.19
Greek Yogurt Parfait with Granola,,8.0,29.0,12.0,22.0,2.0,95.0,25.0,240.0,0.0,0.0,0.8055555555555556,0.6944444444444445,0.8658008658008658,0.3298611111111111,0.33333333333333337,$2.45
Hash Brown Scramble Bowl,,29.0,21.0,31.0,1.0,4.0,1230.0,370.0,460.0,9.0,0.0,0.3043478260869565,5.362318840579711,1.6374929418407678,2.2282608695652173,0.4492753623188406,$1.59
Hash Brown Scramble Burrito,,38.0,50.0,35.0,1.0,5.0,1680.0,370.0,680.0,0.0,0.0,0.4901960784313726,3.627450980392157,1.4514896867838043,2.058823529411765,0.3431372549019608,0
"Sausage, Egg, & Cheese Biscuit",,40.0,41.0,20.0,1.0,3.0,1520.0,200.0,600.0,18.0,0.0,0.4555555555555556,2.2222222222222223,1.7316017316017316,2.1111111111111107,0.22222222222222224,$4.95
"Sausage, Egg, & Cheese Muffin",,30.0,32.0,20.0,1.0,2.0,990.0,200.0,490.0,12.0,0.0,0.435374149659864,2.7210884353741496,1.590246488205672,1.6836734693877549,0.2721088435374149,0
Sunflower Multigrain Bagel with Cream Cheese,,10.0,43.0,7.0,7.0,3.0,460.0,20.0,290.0,4.5,0.0,0.9885057471264368,0.4597701149425287,0.8956560680698612,1.3218390804597702,0.16091954022988506,$1.79
Chick-fil-A Deluxe Sandwich,,23.0,42.0,31.0,6.0,3.0,1590.0,75.0,500.0,7.0,0.0,0.56,1.0,1.1948051948051948,2.6500000000000004,0.4133333333333333,$6.55
"Chick-fil-A Nuggets, 4-Count",,6.0,5.0,14.0,0.0,1.0,490.0,40.0,130.0,0.0,0.0,0.25641025641025644,2.0512820512820515,1.1988011988011988,3.141025641025641,0.7179487179487181,0
"Chick-fil-A Nuggets, 6-Count",,9.0,7.0,21.0,0.0,1.0,730.0,55.0,190.0,0.0,0.0,0.2456140350877193,1.929824561403509,1.2303485987696514,3.201754385964912,0.7368421052631579,0
"Chick-fil-A Nuggets, 8-Count",,12.0,9.0,28.0,0.0,1.0,980.0,75.0,260.0,0.0,0.0,0.2307692307692308,1.9230769230769231,1.1988011988011988,3.141025641025641,0.7179487179487181,$8.59
"Chick-fil-A Nuggets, 12-Count",,18.0,14.0,41.0,1.0,2.0,1460.0,115.0,390.0,0.0,0.0,0.2393162393162393,1.9658119658119657,1.1988011988011988,3.11965811965812,0.7008547008547009,$5.75
"Chick-n-Strips, 3-Count",,17.0,22.0,28.0,3.0,1.0,940.0,70.0,350.0,0.0,0.0,0.4190476190476191,1.3333333333333337,1.261595547309833,2.238095238095238,0.5333333333333333,$3.35
"Chick-n-Strips, 4-Count",,23.0,29.0,37.0,4.0,1.0,1250.0,90.0,470.0,0.0,0.0,0.4113475177304965,1.2765957446808511,1.2710693561757391,2.2163120567375887,0.5248226950354611,$4.09
Chicken Sandwich,,19.0,40.0,28.0,5.0,2.0,1350.0,60.0,440.0,4.0,0.0,0.6060606060606061,0.9090909090909092,1.1216056670602126,2.5568181818181817,0.4242424242424242,$3.19
Grilled Chicken Club Sandwich,,16.0,37.0,37.0,7.0,3.0,1120.0,85.0,430.0,8.0,0.0,0.5736434108527132,1.3178294573643408,0.9664753850800364,2.170542635658915,0.5736434108527132,$4.79
