Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
Brown Steamed Rice,,4g,86g,9g,1g,4g,15mg,0mg,420,1g,0g
Chow Fun,,9g,73g,9g,6g,1g,1110mg,0mg,410,1g,0g
Chow Mein,266g,20g,80g,13g,9g,6g,860mg,0mg,510,3.5g,0g
Fried Rice,264g,16g,85g,11g,3g,1g,850mg,120mg,520,3g,0g
"Mixed Vegetables, Side",,0.5g,16g,4g,5g,5g,540mg,0mg,80,0g,0g
White Steamed Rice,,0g,87g,7g,0g,0g,0mg,0mg,380,0g,0g
Country Style Bean Curd,,12g,14g,7g,8g,2g,950mg,0mg,190,1.5g,0g
Eggplant Tofu,173g,24g,23g,7g,17g,3g,520mg,0mg,340,3.5g,0g
Hot Szechuan Tofu,,8g,10g,6g,5g,2g,580mg,0mg,140,1g,0g
Asian Chicken,,13g,14g,41g,10g,3g,630mg,195mg,340,3.5g,0g
Black Pepper Chicken,173g,19g,15g,13g,7g,1g,1130mg,55mg,280,3.5g,0g
Grilled Asian Chicken,,13g,8g,36g,8g,0g,530mg,185mg,300,4g,0g
Grilled Teriyaki Chicken,,13g,8g,36g,8g,0g,530mg,185mg,300,4g,0g
Kung Pao Chicken,164g,19g,14g,16g,6g,2g,970mg,55mg,290,3.5g,0g
Mushroom Chicken,167g,14g,11g,12g,4g,1g,840mg,50mg,220,2.5g,0g
Orange Chicken,162g,23g,51g,25g,19g,2g,820mg,80mg,490,5g,0g
Potato Chicken,147g,10g,18g,8g,4g,2g,680mg,30mg,190,2g,0g
Teriyaki Chicken,,13g,14g,41g,10g,3g,630mg,195mg,340,3.5g,0g
Honey Sesame Chicken Breast,,22g,40g,16g,19g,2g,480mg,45mg,420,4g,0g
String Bean Chicken Breast,159g,9g,13g,14g,4g,4g,590mg,35mg,190,2g,0g
Sweet & Sour Chicken Breast,156g,12g,40g,10g,24g,1g,260mg,25mg,300,3g,0g
SweetFire Chicken Breast,164g,15g,47g,13g,27g,1g,320mg,35mg,380,3g,0g
Beijing Beef,159g,26g,46g,13g,24g,1g,660mg,25mg,470,5g,0g
Broccoli Beef,153g,7g,13g,9g,7g,2g,520mg,10mg,150,1.5g,0g
Shanghai Angus Steak with String Beans,,19g,17g,19g,11g,1g,790mg,40mg,310,4g,0g
"Crispy Shrimp, Entree",,13g,26g,9g,2g,1g,800mg,60mg,260,2g,0g
Golden Treasure Shrimp,142g,18g,35g,14g,14g,2g,440mg,100mg,360,3g,0g
Honey Walnut Shrimp,105g,23g,35g,13g,9g,2g,440mg,100mg,360,3.5g,0g
Steamed Ginger Fish,,12g,8g,15g,6g,0g,1990mg,40mg,200,2.5g,0g
Chicken Egg Roll,85g,10g,20g,6g,2g,2g,340mg,20mg,200,2g,0g
Chicken Potsticker,94g,6g,20g,6g,2g,1g,250mg,20mg,160,1.5g,0g
Crispy Shrimp,,6g,13g,5g,1g,1g,400mg,30mg,130,1g,0g
Vegetable Spring Roll,96g,8g,27g,3g,3g,2g,520mg,0mg,190,1.5g,0g
"Hot & Sour Soup, Bowl",,6g,20g,10g,6g,1g,1260mg,90mg,170,1g,0g
"Hot & Sour Soup, Cup",301g,5g,14g,7g,4g,1g,880mg,65mg,120,0.5g,0g
Kids Asian Chicken,,8g,8g,25g,6g,2g,380mg,115mg,200,2g,0g
Kids Beijing Beef,,20g,34g,10g,18g,1g,490mg,20mg,350,4g,0g
Kids Broccoli Beef,,6g,10g,7g,5g,2g,400mg,10mg,110,1g,0g
Kids Brown Steamed Rice,,3g,64g,7g,1g,3g,10mg,0mg,310,0.5g,0g
Kids Chow Fun,,6g,53g,6g,4g,1g,810mg,0mg,300,0.5g,0g
Kids Chow Mein,,12g,36g,7g,5g,2g,540mg,0mg,280,2g,0g
Kids Country Style Bean Curd,,8g,9g,4g,5g,1g,600mg,0mg,120,1g,0g
Kids Crispy Shrimp,,8g,17g,6g,1g,1g,520mg,40mg,170,1.5g,0g
